dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
mnist,64,0,0.0001,0,"tensor(1670.0593, device='cuda:0', grad_fn=<AddBackward0>)",0.70535,0.775,0.1058
mnist,64,0,0.0001,1,"tensor(1666.3035, device='cuda:0', grad_fn=<AddBackward0>)",0.70895,0.7754,0.117
mnist,64,0,0.0001,2,"tensor(1665.0271, device='cuda:0', grad_fn=<AddBackward0>)",0.7121166666666666,0.7788,0.1398
mnist,64,0,0.0001,3,"tensor(1661.7330, device='cuda:0', grad_fn=<AddBackward0>)",0.71525,0.7775,0.1778
mnist,64,0,0.0001,4,"tensor(1656.0884, device='cuda:0', grad_fn=<AddBackward0>)",0.7255666666666667,0.7748,0.3242
mnist,64,0,0.0001,5,"tensor(1639.5267, device='cuda:0', grad_fn=<AddBackward0>)",0.7613833333333333,0.7651,0.7664
mnist,64,0,0.0001,6,"tensor(1620.2953, device='cuda:0', grad_fn=<AddBackward0>)",0.7753166666666667,0.7668,0.913
mnist,64,0,0.0001,7,"tensor(1611.4990, device='cuda:0', grad_fn=<AddBackward0>)",0.7811833333333333,0.7728,0.9387
mnist,64,0,0.0001,8,"tensor(1604.0265, device='cuda:0', grad_fn=<AddBackward0>)",0.7845666666666666,0.773,0.9587
mnist,64,0,0.0001,9,"tensor(1601.5720, device='cuda:0', grad_fn=<AddBackward0>)",0.7874,0.7755,0.9703
mnist,64,0,0.0001,10,"tensor(1598.3442, device='cuda:0', grad_fn=<AddBackward0>)",0.7905333333333333,0.7804,0.9721
mnist,64,0,0.0001,11,"tensor(1597.2926, device='cuda:0', grad_fn=<AddBackward0>)",0.7934,0.7792,0.9781
mnist,64,0,0.0001,12,"tensor(1596.3076, device='cuda:0', grad_fn=<AddBackward0>)",0.7940166666666667,0.7797,0.9845
mnist,64,0,0.0001,13,"tensor(1593.8925, device='cuda:0', grad_fn=<AddBackward0>)",0.79355,0.7757,0.9878
mnist,64,0,0.0001,14,"tensor(1592.0283, device='cuda:0', grad_fn=<AddBackward0>)",0.7958166666666666,0.7825,0.9858
mnist,64,0,0.0001,15,"tensor(1589.5454, device='cuda:0', grad_fn=<AddBackward0>)",0.7980833333333334,0.7831,0.9845
mnist,64,0,0.0001,16,"tensor(1588.7716, device='cuda:0', grad_fn=<AddBackward0>)",0.8004,0.7836,0.9932
mnist,64,0,0.0001,17,"tensor(1587.4673, device='cuda:0', grad_fn=<AddBackward0>)",0.8024666666666667,0.7844,0.994
mnist,64,0,0.0001,18,"tensor(1584.1237, device='cuda:0', grad_fn=<AddBackward0>)",0.8018333333333333,0.7851,0.9916
mnist,64,0,0.0001,19,"tensor(1585.0421, device='cuda:0', grad_fn=<AddBackward0>)",0.8009333333333334,0.7843,0.9957
mnist,64,0,0.0001,20,"tensor(1583.4851, device='cuda:0', grad_fn=<AddBackward0>)",0.8034666666666667,0.7861,0.9966
mnist,64,0,0.0001,21,"tensor(1582.3568, device='cuda:0', grad_fn=<AddBackward0>)",0.8026833333333333,0.7857,0.9973
mnist,64,0,0.0001,22,"tensor(1580.9319, device='cuda:0', grad_fn=<AddBackward0>)",0.8047166666666666,0.7888,0.9954
mnist,64,0,0.0001,23,"tensor(1581.5739, device='cuda:0', grad_fn=<AddBackward0>)",0.8050666666666667,0.788,0.9965
mnist,64,0,0.0001,24,"tensor(1578.7334, device='cuda:0', grad_fn=<AddBackward0>)",0.8089666666666666,0.7885,0.9976
mnist,64,0,0.0001,25,"tensor(1577.6459, device='cuda:0', grad_fn=<AddBackward0>)",0.8095333333333333,0.7908,0.9974
